0.999955	0.000000	0.000045	0.000000
0.999934	0.000018	0.000040	0.000008
0.999912	0.000030	0.000042	0.000016
0.999889	0.000039	0.000047	0.000025
0.999861	0.000049	0.000054	0.000035
0.999829	0.000060	0.000064	0.000047
0.999790	0.000072	0.000077	0.000061
0.999744	0.000087	0.000092	0.000078
0.999688	0.000104	0.000110	0.000098
0.999621	0.000125	0.000131	0.000122
0.999541	0.000150	0.000158	0.000151
0.999445	0.000180	0.000189	0.000185
0.999331	0.000216	0.000227	0.000227
0.999193	0.000259	0.000272	0.000277
0.999029	0.000309	0.000325	0.000336
0.998834	0.000369	0.000389	0.000407
0.998600	0.000441	0.000466	0.000493
0.998323	0.000526	0.000557	0.000595
0.997993	0.000626	0.000665	0.000717
0.997601	0.000744	0.000793	0.000862
0.997138	0.000883	0.000944	0.001035
0.996591	0.001045	0.001123	0.001241
0.995947	0.001234	0.001333	0.001486
0.995191	0.001453	0.001579	0.001777
0.994309	0.001705	0.001866	0.002121
0.993282	0.001994	0.002198	0.002526
0.992094	0.002320	0.002582	0.003003
0.990727	0.002687	0.003023	0.003563
0.989162	0.003097	0.003524	0.004217
0.987384	0.003548	0.004091	0.004977
0.985378	0.004038	0.004727	0.005858
0.983129	0.004566	0.005432	0.006872
0.980627	0.005132	0.006206	0.008036
0.977865	0.005724	0.007051	0.009360
0.974835	0.006340	0.007965	0.010860
0.971528	0.006984	0.008939	0.012550
0.967939	0.007650	0.009970	0.014441
0.964062	0.008331	0.011064	0.016543
0.959883	0.009034	0.012214	0.018868
0.955381	0.009778	0.013410	0.021431
0.950539	0.010559	0.014662	0.024240
0.945336	0.011375	0.015987	0.027302
0.939739	0.012244	0.017381	0.030636
0.933712	0.013192	0.018838	0.034258
0.927234	0.014200	0.020384	0.038182
0.920286	0.015254	0.022039	0.042421
0.912842	0.016368	0.023791	0.046999
0.904884	0.017553	0.025621	0.051942
0.896430	0.018754	0.027555	0.057261
0.887505	0.019933	0.029590	0.062972
0.878129	0.021094	0.031683	0.069094
0.868340	0.022228	0.033785	0.075646
0.858225	0.023252	0.035904	0.082619
0.847859	0.024125	0.038009	0.090006
0.837306	0.024867	0.040019	0.097808
0.826642	0.025473	0.041879	0.106007
0.815967	0.025877	0.043596	0.114559
0.805352	0.026080	0.045139	0.123429
0.794833	0.026145	0.046433	0.132589
0.784460	0.026081	0.047469	0.141990
0.774282	0.025866	0.048283	0.151569
0.764314	0.025537	0.048868	0.161281
0.754548	0.025163	0.049196	0.171093
0.744994	0.024743	0.049312	0.180951
0.735649	0.024280	0.049262	0.190809
0.726491	0.023810	0.049059	0.200640
0.717488	0.023381	0.048711	0.210420
0.708621	0.022982	0.048274	0.220122
0.699864	0.022616	0.047791	0.229728
0.691176	0.022315	0.047277	0.239232
0.682513	0.022103	0.046747	0.248637
0.673854	0.021957	0.046252	0.257938
0.665174	0.021868	0.045817	0.267141
0.656443	0.021853	0.045440	0.276264
0.647647	0.021906	0.045124	0.285322
0.638806	0.021974	0.044895	0.294324
0.629938	0.022033	0.044745	0.303284
0.621057	0.022087	0.044634	0.312221
0.612208	0.022106	0.044544	0.321143
0.603446	0.022037	0.044472	0.330045
0.594811	0.021876	0.044386	0.338927
0.586324	0.021657	0.044229	0.347791
0.578021	0.021362	0.043998	0.356619
0.569932	0.020978	0.043701	0.365389
0.562059	0.020537	0.043317	0.374087
0.554391	0.020084	0.042820	0.382705
0.546936	0.019606	0.042243	0.391215
0.539693	0.019102	0.041606	0.399599
0.532649	0.018601	0.040902	0.407848
0.525794	0.018116	0.040135	0.415954
0.519136	0.017628	0.039333	0.423903
0.512675	0.017132	0.038507	0.431686
0.506407	0.016644	0.037649	0.439301
0.500332	0.016161	0.036763	0.446744
0.494461	0.015668	0.035864	0.454007
0.488790	0.015167	0.034955	0.461088
0.483312	0.014676	0.034026	0.467986
0.478023	0.014195	0.033084	0.474698
0.472917	0.013719	0.032144	0.481221
0.467979	0.013258	0.031209	0.487554
0.463186	0.012834	0.030276	0.493703
0.458523	0.012445	0.029364	0.499668
0.453970	0.012092	0.028487	0.505452
0.449500	0.011785	0.027651	0.511064
0.445084	0.011540	0.026862	0.516515
0.440702	0.011347	0.026136	0.521814
0.436331	0.011208	0.025487	0.526974
0.431942	0.011130	0.024916	0.532013
0.427513	0.011115	0.024426	0.536946
0.423027	0.011150	0.024032	0.541791
